Round,Trial,Stimuli,Correct Sum,Selected Sum,Points,Response Time,Time Log
0,0,2,0,0,0,0,0
0,1,17,19,19,1,2344.833,3000.533
0,2,3,20,20,2,1569.086,6000.539
0,3,6,9,9,3,1053.547,9000.889
0,4,8,14,14,4,1629.479,12001.11
0,5,10,18,18,5,1257.619,15001.69
1,0,15,0,0,0,0,0
1,1,3,18,18,1,1125.702,2000.002
1,2,7,10,0,1,0,4000.919
1,3,4,11,0,1,0,6001.482
1,4,6,10,6,1,1791.328,8002.346
1,5,5,11,11,2,1434.509,10002.87
1,6,8,13,13,3,1894.466,12003.72
1,7,12,20,20,4,1820.229,14004.2
1,8,7,19,19,5,1745.09,16004.57
